competitionId,eventId,round_number,local_hour,timezone,roundTypeId,bin_15min
ConnecticutChampionship2025,444,1,8.0,America/New_York,d,8.0
ThreeRoundsWhangarei2022,666,1,8.0,Pacific/Auckland,d,8.0
CobbLibraryCubingA2022,333,1,8.0,America/New_York,1,8.0
ColombiaNationals2022,333fm,1,8.0,America/Bogota,f,8.0
CubingKeralaMalabarOpen2023,333fm,1,8.0,Asia/Kolkata,f,8.0
ValdiNxN2024,444,3,8.0,Europe/Rome,f,8.0
CariloOpen2022,666,1,8.0,America/Argentina/Buenos_Aires,c,8.0
HighPlainsSolving2023,333,1,8.0,America/Denver,d,8.0
PhoenixMarketcity2019,333fm,1,8.0,Asia/Kolkata,f,8.0
CobbCubesComeback2A2021,333,1,8.0,America/New_York,1,8.0
NortheastChampionship2022,333,2,8.0,America/New_York,2,8.0
LouisianaChampionship2024,333fm,1,8.0,America/Chicago,f,8.0
CubingComesToPondy2022,333fm,1,8.0,Asia/Kolkata,f,8.0
SwissNationals2023,333fm,1,8.0,Europe/Zurich,f,8.0
NewZealandNationals2019,333,1,8.0,Pacific/Auckland,1,8.0
NewZealandNationals2019,444,1,8.0,Pacific/Auckland,d,8.0
NewZealandNationals2022,333,1,8.0,Pacific/Auckland,1,8.0
SeomaraCubeFest2024,333,2,8.0,Europe/Lisbon,2,8.0
SingaporeMini2019,333fm,1,8.0,Asia/Singapore,f,8.0
BerissoAlCubo2023,666,1,8.0,America/Argentina/Buenos_Aires,c,8.0
AraruamaOpen2023,444,1,8.0,America/Sao_Paulo,d,8.0
NZNorthIslandChampionship2023,333,2,8.0,Pacific/Auckland,2,8.0
VirginiaChampionship2023,333fm,1,8.0,America/New_York,f,8.0
BucaramangaCST2023,444,1,8.0,America/Bogota,c,8.0
PaodeQueijoOpen2022,333fm,1,8.0,America/Sao_Paulo,f,8.0
ParaguayNationals2021,444,1,8.0,America/Sao_Paulo,f,8.0
HappyCubingActonFall2021,333,2,8.0,America/El_Salvador,2,8.0
HanoiSuperBrainZyo2023,666,1,8.0,Asia/Ho_Chi_Minh,c,8.0
SingaporeMofunandFIS2022,333,1,8.0,Asia/Singapore,d,8.0
NewZealandNationals2022,333,2,8.0,Pacific/Auckland,2,8.0
NewZealandNationals2023,333,2,8.0,Pacific/Auckland,2,8.0
BibliopenIICali2022,333,1,8.0,America/Bogota,1,8.0
LouisianaMegaTwoDay2025,444,1,8.0,America/Chicago,d,8.0
AllRoundersinStobierna2023,333fm,1,8.0,Europe/Warsaw,f,8.0
HaNoiChampionship2019,333,1,8.0,Asia/Ho_Chi_Minh,d,8.0
HaNoiCubeDay2020,333,1,8.0,Asia/Ho_Chi_Minh,1,8.0
HanoiSummer2023,666,1,8.0,Asia/Ho_Chi_Minh,c,8.0
NZNorthIslandChamps2022,333,1,8.0,Pacific/Auckland,1,8.0
NZSouthIslandChampionship2022,333,1,8.0,Pacific/Auckland,1,8.0
NZNorthIslandChamps2022,333,2,8.0,Pacific/Auckland,2,8.0
PalmerstonNorth2023,444,1,8.0,Pacific/Auckland,d,8.0
PalmerstonNorth2022,444,1,8.0,Pacific/Auckland,d,8.0
Cube4funBelzyceMultiEvents2023,333,1,8.0,Europe/Warsaw,1,8.0
YopalOpen2024,444,1,8.0,America/Bogota,c,8.0
