competitionId,roundTypeId,n_competitors,n_attempts,n_single_rec,n_avg_rec,n_wr_single,n_wr_avg,n_cr_single,n_cr_avg,n_nr_single,n_nr_avg,eventId,n_records,n_wr,n_cr,n_nr,local_hour,bin_15min,timezone,countryId,year,is_final,round_stage,round_name,era
FinnishChampionship2019,d,22,56,0,0,0,0,0,0,0,0,666,0,0,0,0,16.666666666666668,16.5,Europe/Helsinki,Finland,2019,False,Early,First round,2019-2022
FinnishChampionship2019,f,10,30,0,0,0,0,0,0,0,0,666,0,0,0,0,14.166666666666666,14.0,Europe/Helsinki,Finland,2019,True,Final,Final,2019-2022
FinnishChampionship2021,f,26,72,1,1,0,0,0,0,1,1,666,2,0,0,2,18.5,18.5,Europe/Helsinki,Finland,2021,True,Final,Final,2019-2022
FinnishChampionship2022,c,11,31,1,1,0,0,0,0,1,1,666,2,0,0,2,10.916666666666666,10.75,Europe/Helsinki,Finland,2022,True,Final,Final,2019-2022
FinnishChampionship2023,d,23,65,0,0,0,0,0,0,0,0,666,0,0,0,0,11.0,11.0,Europe/Helsinki,Finland,2023,False,Early,First round,2023-2026
FinnishChampionship2023,f,10,30,0,0,0,0,0,0,0,0,666,0,0,0,0,16.333333333333332,16.25,Europe/Helsinki,Finland,2023,True,Final,Final,2023-2026
FinnishChampionship2024,2,19,57,0,0,0,0,0,0,0,0,666,0,0,0,0,15.416666666666666,15.25,Europe/Helsinki,Finland,2024,False,Early,Second round,2023-2026
FinnishChampionship2024,d,34,78,0,0,0,0,0,0,0,0,666,0,0,0,0,15.5,15.5,Europe/Helsinki,Finland,2024,False,Early,First round,2023-2026
FinnishChampionship2024,f,14,42,0,0,0,0,0,0,0,0,666,0,0,0,0,17.833333333333332,17.75,Europe/Helsinki,Finland,2024,True,Final,Final,2023-2026
FinnishChampionship2025,c,16,44,0,0,0,0,0,0,0,0,666,0,0,0,0,19.416666666666668,19.25,Europe/Helsinki,Finland,2025,True,Final,Final,2023-2026
FinnishChampsQualifier2025,1,9,27,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Finland,2025,False,Early,First round,2023-2026
FinnishChampsQualifier2025,f,6,18,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Finland,2025,True,Final,Final,2023-2026
FinnishOpen2009,f,6,18,1,1,0,0,0,0,1,1,666,2,0,0,2,,,,Finland,2009,True,Final,Final,
FinnishOpen2011,f,4,11,0,1,0,0,0,0,0,1,666,1,0,0,1,,,,Finland,2011,True,Final,Final,2011-2015
FinnishOpen2012,c,8,16,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Finland,2012,True,Final,Final,2011-2015
FinnishOpen2013,f,10,30,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Finland,2013,True,Final,Final,2011-2015
FinnishOpen2015,f,6,18,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Finland,2015,True,Final,Final,2011-2015
FinnishOpen2016,f,3,9,0,1,0,0,0,0,0,1,666,1,0,0,1,,,,Finland,2016,True,Final,Final,2016-2018
FinnishOpen2018,d,12,28,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Finland,2018,False,Early,First round,2016-2018
FinnishOpen2018,f,6,18,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Finland,2018,True,Final,Final,2016-2018
FiresdeGirona2024,c,42,106,1,1,0,0,0,0,1,1,666,2,0,0,2,12.333333333333334,12.25,Europe/Madrid,Spain,2024,True,Final,Final,2023-2026
FirstCubing2018,c,4,12,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Paraguay,2018,True,Final,Final,2016-2018
